# Program:featureCounts v1.5.1; Command:"featureCounts" "-a" "../small_gtf" "-o" "featureCounts_smallbam_smallgtf.txt" "-s" "1" "-p" "-B" "-C" "-T" "10" "-R" "../smallbam.sort" 
Geneid	Chr	Start	End	Strand	Length	../smallbam.sort
ENSMUSG00000027483.7	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	154142880;154142899;154143755;154143755;154144192;154144192;154144303;154144800;154145627;154145627;154146042;154146042;154147245;154147245;154147528;154147625;154148050;154149045	154142926;154142926;154144001;154144001;154144351;154144351;154144351;154145129;154145734;154145734;154146191;154146191;154147323;154147323;154147700;154147688;154148125;154149219	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1545	1
ENSMUSG00000027509.11	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	173000117;173000124;173002659;173002659;173003507;173003507;173005160;173005160;173006644;173006881;173006881;173008060;173008060;173008060;173008244;173008244;173008244;173009370;173009370;173009370;173011664;173012000;173012180;173012461;173012627;173012627;173015283;173015283	173000376;173000250;173002753;173002753;173003611;173003611;173005252;173005252;173006967;173006967;173006967;173008146;173008146;173008146;173008315;173008315;173008315;173009444;173009445;173009477;173012255;173012106;173012255;173012821;173012821;173012821;173015427;173015739	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2554	1
ENSMUSG00000036887.5	chr4;chr4;chr4	136895917;136897675;136898746	136896728;136897844;136898803	-;-;-	1040	1
ENSMUSG00000104713.4	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	105270702;105272411;105272413;105274187;105274187;105274187;105274709;105274709;105274709;105275753;105275753;105275753;105276627;105276627;105277697;105277697;105280075;105280075;105280075;105280455;105280455;105288927;105288927;105290837;105290837;105290837;105293626;105293626;105293626	105273287;105273287;105273287;105274380;105274380;105274380;105274811;105274811;105274811;105277942;105275959;105275959;105276907;105276907;105277942;105277942;105280564;105280271;105280271;105280564;105280564;105289054;105289054;105291026;105291026;105291026;105293698;105293684;105293696	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5954	1
ENSMUSG00000054434.14	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	123068415;123076275;123076325;123076326;123076341;123076351;123076370;123098175;123098175;123098175;123098175;123098175;123098175;123098175;123099837;123099837;123099837;123099837;123099837;123099901;123101611;123101625;123101625;123101625;123101625;123101625;123102254;123102254;123102254;123102254;123102254;123102254;123104422;123104422;123104422;123104422;123104422;123104422;123114102;123114102;123114102;123114102;123114102;123114102;123114568;123114568;123114568;123114568;123114568;123114568;123115100;123115100;123115100;123115100;123115100;123115661;123115661;123115661;123116202;123116202;123116238;123116644;123116644;123116644	123068503;123076495;123076495;123076495;123076495;123076495;123076495;123098293;123098293;123098293;123098293;123098293;123098293;123098293;123100368;123099953;123099953;123099953;123099953;123099953;123101684;123101684;123101684;123101684;123101684;123101684;123102349;123102349;123102349;123102349;123102349;123102349;123104511;123104587;123104511;123104511;123104511;123104511;123114167;123114167;123114167;123114167;123114167;123114167;123114629;123114629;123114629;123114629;123114629;123114612;123115192;123115145;123115192;123115127;123115192;123115819;123115725;123115725;123116270;123116270;123116270;123117009;123117749;123116682	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2852	1
ENSMUSG00000046733.7	chr6;chr6;chr6;chr6	135065651;135078546;135083443;135083747	135065775;135079484;135083498;135084709	+;+;+;+	2083	1
ENSMUSG00000078566.8	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	138890836;138894281;138894380;138894610;138894610;138894610;138897996;138897996;138897996;138898540;138898681;138898681;138898710;138909306;138909363;138909363;138909363	138891960;138894529;138894529;138894716;138894716;138894716;138898276;138898077;138898077;138898828;138898828;138898828;138898828;138909479;138909519;138909495;138909506	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2265	1
ENSMUSG00000025473.16	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	139978932;139978932;139978932;139978932;139979394;139979960;139979960;139979960;139979960;139979960;139982782;139982782;139982782;139982782;139983308;139983308;139983308;139983308;139983835;139983835;139983835;139983835;139983854;139984729;139984729;139984729;139984729;139984729;139985337;139985337;139985337;139985337;139985829;139985829;139985829;139985829;139985829;139986303;139986303;139986303;139986303;139986303;139986733;139986733;139986733;139986733;139986893;139986893;139986893;139986893;139986893;139987179;139987179;139987179;139987179;139987179;139987560;139987560;139987560;139987654;139987819;139987819;139987819;139987819;139987819;139987819;139988214;139988214;139988214;139988214;139988214;139988214;139988379;139988463;139988463;139988463;139988463;139988811;139988811;139988811;139988811;139988962;139988962;139988962;139988962;139989244;139989244;139989244;139989244;139989419;139989897;139989897;139989897;139989897;139989897;139990051;139990051;139990051;139990051;139990051;139990272;139990272;139990272;139990272;139991346;139991346;139991346;139991346;139991346;139992432;139992432;139992432;139992432;139992432	139979527;139979527;139979527;139979527;139979527;139980368;139980034;139980034;139980034;139980034;139982832;139982832;139982832;139982832;139983373;139983373;139983373;139983373;139983994;139983994;139983994;139983994;139983994;139984843;139984843;139984843;139984843;139985430;139985430;139985430;139985430;139985430;139985906;139985906;139985906;139985906;139985906;139986486;139986808;139986468;139986468;139986468;139986808;139986808;139986808;139986808;139987082;139987082;139987082;139987082;139987082;139987268;139987737;139987268;139987268;139987737;139987737;139987737;139987737;139987737;139987967;139987967;139987967;139987967;139987967;139987967;139988295;139988295;139988295;139988295;139988295;139988434;139988430;139988629;139988629;139988629;139988629;139988879;139988879;139988879;139988879;139989024;139989024;139989024;139989024;139989427;139989427;139989427;139989427;139989427;139989973;139989973;139989973;139989973;139989973;139990129;139990129;139990129;139990129;139990129;139990348;139990348;139990348;139990348;139991446;139991446;139991446;139991449;139991446;139992508;139992562;139992562;139992562;139992548	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4638	1
ENSMUSG00000032939.14	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	94214564;94214577;94214601;94214606;94220560;94220560;94227661;94227663;94227663;94227663;94227663;94243654;94243654;94243654;94243654;94243654;94266847;94268606;94281271;94281271;94281271;94281271;94281271;94281271;94286489;94286489;94286489;94286489;94286489;94286489;94292668;94292668;94292668;94292668;94292668;94295021;94295021;94295021;94295021;94296007;94296450;94296450;94296450;94296450;94296450;94300760;94300760;94300760;94300760;94300760;94302068;94302068;94302068;94302068;94302068;94303600;94303600;94303600;94303600;94303600;94304160;94304160;94304160;94304160;94305240;94305240;94305240;94305240;94306025;94306025;94306025;94306025;94306274;94306274;94306274;94306274;94306602;94306602;94306602;94306602;94307841;94307841;94307841;94307841;94308904;94308904;94308904;94308904;94309588;94309588;94309588;94309588;94310299;94310299;94310299;94310299;94311533;94311533;94311533;94311533;94314585;94314585;94314585;94314585;94316954	94214631;94214631;94214631;94214631;94220611;94220611;94227855;94227855;94227855;94227855;94227855;94243771;94243771;94243771;94244052;94243771;94267223;94268857;94281333;94281333;94281333;94281333;94281333;94281333;94286552;94286617;94286617;94286617;94286617;94286617;94292742;94292742;94292816;94292742;94292742;94295110;94295110;94295110;94295110;94296038;94296589;94296589;94296589;94296589;94296589;94300892;94300892;94300892;94300892;94300892;94302225;94302225;94302225;94302225;94302225;94303759;94303765;94303765;94303765;94303765;94304253;94304253;94304253;94304253;94305431;94305431;94305431;94305431;94306151;94306151;94306151;94306151;94306346;94306346;94306346;94306346;94306646;94306646;94306646;94306646;94307957;94307957;94307957;94307957;94309022;94309022;94309022;94309022;94309705;94309705;94309705;94309705;94310382;94310382;94310382;94310382;94311661;94311661;94311661;94311661;94314680;94315066;94315066;94314860;94317227	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4257	1
ENSMUSG00000040188.9	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	57560944;57577193;57577639;57579433;57580784;57581490;57582852;57587080;57587422	57561110;57577261;57577737;57579550;57580912;57581649;57582953;57587200;57588797	+;+;+;+;+;+;+;+;+	2341	1
